RefSigR2	RefSigR4	RefSigR6a	RefSigR1	RefSigR7	RefSigR5	RefSigR6b	RefSigR8	RefSigR3	RefSigR9	RefSigR10	RefSigR11	RefSigR12	RefSigR13	RefSigR14	RefSigR15	RefSigR16	RefSigR17	RefSigR18	RefSigR19	RefSigR20
Biliary_A (RefSig R4)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biliary_B (RefSig R10)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Biliary_C (RefSig R2+R5)	0.321390301	0	0	0	0	0.678609699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biliary_D (RefSig R8)	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Biliary_E (RefSig R6b)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biliary_F (RefSig R6a)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bladder_A (RefSig R17)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bladder_B (RefSig R2+R11)	0.694628687	0	0	0	0	0	0	0	0	0	0	0.305371313	0	0	0	0	0	0	0	0	0
Bladder_C (RefSig R10)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bladder_D (RefSig R7)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bladder_E (RefSig R4+R6a)	0	0.617197901	0.382802099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bone_SoftTissue_A (RefSig R11)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bone_SoftTissue_B (RefSig R4)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bone_SoftTissue_C (RefSig R8)	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bone_SoftTissue_D (RefSig R7)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bone_SoftTissue_E (RefSig R6b)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bone_SoftTissue_F (RefSig R6a)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bone_SoftTissue_G (RefSig R2)	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bone_SoftTissue_H (RefSig R1)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Breast_A (RefSig R1)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Breast_B (RefSig R6b)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Breast_C (RefSig R8)	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Breast_D (RefSig R5)	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Breast_E (RefSig R6a)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Breast_F (RefSig R2+R11)	0.622472915	0	0	0	0	0	0	0	0	0	0	0.377527085	0	0	0	0	0	0	0	0	0
Breast_G (RefSig R3)	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Breast_H (RefSig R4)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cervix_A (RefSig R5+R8)	0	0	0	0	0	0.782483245	0	0.217516755	0	0	0	0	0	0	0	0	0	0	0	0	0
Cervix_B (RefSig R10)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CNS_A (RefSig R4+R6b)	0	0.478134718	0	0	0	0	0.521865282	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNS_B (RefSig R2+R1)	0.734888528	0	0	0.265111472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNS_C (RefSig R6a)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNS_D (RefSig R20)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Colorectal_A (RefSig R2)	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Colorectal_B (RefSig R3)	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Colorectal_C (RefSig R7)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Colorectal_D (RefSig R6a+R6b)	0	0	0.748600666	0	0	0	0.251399334	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esophagus_A (RefSig R1)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esophagus_B (RefSig R12)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Esophagus_C (RefSig R2+R9)	0.177280227	0	0	0	0	0	0	0	0	0.822719773	0	0	0	0	0	0	0	0	0	0	0
Esophagus_D (RefSig R4)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esophagus_E (RefSig R7)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esophagus_F (RefSig R6a)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esophagus_G (RefSig R2+R11)	0.696209023	0	0	0	0	0	0	0	0	0	0	0.303790977	0	0	0	0	0	0	0	0	0
Head_neck_A (RefSig R16)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Head_neck_B (RefSig R5+R3)	0	0	0	0	0	0.807542871	0	0	0.192457129	0	0	0	0	0	0	0	0	0	0	0	0
Head_neck_C (RefSig R2+R8)	0.885917605	0	0	0	0	0	0	0.114082395	0	0	0	0	0	0	0	0	0	0	0	0	0
Kidney_A (RefSig R7)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kidney_B (RefSig R6b)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kidney_C (RefSig R4)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kidney_D (RefSig R2)	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kidney_E (RefSig R6a)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver_A (RefSig R5)	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver_B (RefSig R4)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver_C (RefSig R1)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver_D (RefSig R2)	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver_E (RefSig R3)	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Liver_F (RefSig R8)	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver_G (RefSig R6a+R6b)	0	0	0.763089413	0	0	0	0.236910587	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lung_A (RefSig R1)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lung_B (RefSig R2)	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lung_C (RefSig R9)	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Lung_D (RefSig R3)	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Lung_E (RefSig R13)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Lung_F (RefSig R11)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Lung_G (RefSig R6a)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lung_H (RefSig R6b)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lung_I (RefSig R4)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lung_J (RefSig R7)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lymphoid_A (RefSig R2)	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lymphoid_B (RefSig R4+R6a)	0	0.709501761	0.290498239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lymphoid_C (RefSig R1)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lymphoid_D (RefSig R6a+R6b)	0	0	0.236674462	0	0	0	0.763325538	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lymphoid_E (RefSig R5)	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ovary_A (RefSig R5)	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ovary_B (RefSig R6a+R6b)	0	0	0.583365067	0	0	0	0.416634933	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ovary_C (RefSig R1)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ovary_D (RefSig R18)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Ovary_E (RefSig R14)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Ovary_F (RefSig R2+R7)	0.37519661	0	0	0	0.62480339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ovary_G (RefSig R3)	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Pancreas_A (RefSig R1)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pancreas_B (RefSig R7)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pancreas_C (RefSig R9)	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Pancreas_D (RefSig R2)	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pancreas_E (RefSig R4)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pancreas_F (RefSig R12)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Pancreas_G (RefSig R6a)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prostate_A (RefSig R6b)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prostate_B (RefSig R2)	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prostate_C (RefSig R8)	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Prostate_D (RefSig R1)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prostate_E (RefSig R6a)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prostate_F (RefSig R3)	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Prostate_G (RefSig R9)	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Prostate_H (RefSig R4)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prostate_I (RefSig R15)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Skin_A (RefSig R6b)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Skin_B (RefSig R11)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Skin_C (RefSig R1)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Skin_D (RefSig R6a)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Skin_E (RefSig R4)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Skin_F (RefSig R2)	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Skin_G (RefSig R5)	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stomach_A (RefSig R6a)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stomach_B (RefSig R2)	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stomach_C (RefSig R1)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stomach_D (RefSig R1+R3)	0	0	0	0.396830867	0	0	0	0	0.603169133	0	0	0	0	0	0	0	0	0	0	0	0
Stomach_E (RefSig R7)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stomach_F (RefSig R6b)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stomach_G (RefSig R4)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stomach_H (RefSig R9)	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Uterus_A (RefSig R19)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Uterus_B (RefSig R5+R3)	0	0	0	0	0	0.787715777	0	0	0.212284223	0	0	0	0	0	0	0	0	0	0	0	0
Uterus_C (RefSig R8)	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Uterus_D (RefSig R2+R1)	0.276991154	0	0	0.723008846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
