RS1	RS2	RS3	RS4	RS5	RS6
clustered_del_1-10Kb	0	0	0	0.0103092783505155	0	0.0101010101010101
clustered_del_10-100Kb	0	0	0	0.0103092783505155	0	0.0101010101010101
clustered_del_100Kb-1Mb	0	0	0	0.0206185567010309	0	0.0303030303030303
clustered_del_1Mb-10Mb	0	0	0	0.0309278350515464	0	0.0707070707070707
clustered_del_>10Mb	0	0	0	0.0103092783505155	0	0.0707070707070707
clustered_tds_1-10Kb	0	0	0	0	0	0
clustered_tds_10-100Kb	0	0	0	0.0103092783505155	0	0.0101010101010101
clustered_tds_100Kb-1Mb	0.0099009900990099	0	0	0.0103092783505155	0	0.0303030303030303
clustered_tds_1Mb-10Mb	0	0	0	0.0309278350515464	0	0.0707070707070707
clustered_tds_>10Mb	0	0	0	0.0103092783505155	0	0.0707070707070707
clustered_inv_1-10Kb	0	0	0	0.0309278350515464	0	0.0202020202020202
clustered_inv_10-100Kb	0	0	0	0.0206185567010309	0	0.0202020202020202
clustered_inv_100Kb-1Mb	0	0	0	0.0309278350515464	0	0.0505050505050505
clustered_inv_1Mb-10Mb	0	0	0	0.0618556701030928	0	0.151515151515152
clustered_inv_>10Mb	0	0	0	0.0206185567010309	0	0.141414141414141
clustered_trans	0	0	0	0.577319587628866	0	0
non-clustered_del_1-10Kb	0	0.0202020202020202	0.0204081632653061	0	0.323232323232323	0.0303030303030303
non-clustered_del_10-100Kb	0.0099009900990099	0.0101010101010101	0	0	0.222222222222222	0.0202020202020202
non-clustered_del_100Kb-1Mb	0.0396039603960396	0.0505050505050505	0	0	0.0505050505050505	0.0202020202020202
non-clustered_del_1Mb-10Mb	0.0099009900990099	0.0606060606060606	0	0.0103092783505155	0.0101010101010101	0.0202020202020202
non-clustered_del_>10Mb	0	0.0606060606060606	0.0102040816326531	0	0.0101010101010101	0.0202020202020202
non-clustered_tds_1-10Kb	0	0	0.540816326530612	0	0.0101010101010101	0
non-clustered_tds_10-100Kb	0.158415841584158	0	0.224489795918367	0	0.121212121212121	0
non-clustered_tds_100Kb-1Mb	0.534653465346535	0	0.0102040816326531	0	0.0101010101010101	0
non-clustered_tds_1Mb-10Mb	0.168316831683168	0.0202020202020202	0	0.0103092783505155	0	0.0101010101010101
non-clustered_tds_>10Mb	0	0.0505050505050505	0.0102040816326531	0	0.0101010101010101	0.0101010101010101
non-clustered_inv_1-10Kb	0.0099009900990099	0.0505050505050505	0.0102040816326531	0.0103092783505155	0.0505050505050505	0.0101010101010101
non-clustered_inv_10-100Kb	0.0198019801980198	0.0202020202020202	0	0	0.0303030303030303	0.0101010101010101
non-clustered_inv_100Kb-1Mb	0.0198019801980198	0.0404040404040404	0	0	0	0.0101010101010101
non-clustered_inv_1Mb-10Mb	0	0.101010101010101	0	0.0103092783505155	0	0.0404040404040404
non-clustered_inv_>10Mb	0.0099009900990099	0.121212121212121	0.0102040816326531	0	0.0202020202020202	0.0303030303030303
non-clustered_trans	0.0099009900990099	0.393939393939394	0.163265306122449	0.0721649484536082	0.131313131313131	0.0101010101010101
