GEL-Breast_common_DBS11	GEL-Breast_common_DBS13	GEL-Breast_common_DBS20	GEL-Breast_rare_DBS17	GEL-Breast_rare_DBS28	GEL-Breast_rare_DBS2	GEL-Breast_rare_DBS1	GEL-Breast_rare_DBS12	GEL-Breast_rare_DBS7	GEL-Breast_rare_DBS18	GEL-Breast_rare_DBS19	GEL-Breast_rare_DBS5	GEL-Ovary_common_DBS13+20	GEL-Ovary_common_DBS20	GEL-Ovary_rare_DBS28	GEL-Ovary_rare_DBS5	GEL-Ovary_rare_DBS14	GEL-Ovary_rare_DBS10	GEL-Kidney_common_DBS15	GEL-Kidney_common_DBS13	GEL-Kidney_rare_DBS2	GEL-Kidney_rare_DBS28	GEL-Kidney_rare_DBS5	GEL-Kidney_rare_DBS11	GEL-Kidney_rare_DBS8	GEL-Colorectal_common_DBS2	GEL-Colorectal_common_DBS20	GEL-Colorectal_rare_DBS38	GEL-Colorectal_rare_DBS25	GEL-Colorectal_rare_DBS5_a	GEL-Colorectal_rare_DBS28	GEL-Colorectal_rare_DBS8	GEL-Colorectal_rare_DBS8+28	GEL-Colorectal_rare_DBS10	GEL-Colorectal_rare_DBS3	GEL-Colorectal_rare_DBS5+25	GEL-Colorectal_rare_DBS27	GEL-Colorectal_rare_DBS26	GEL-Colorectal_rare_DBS1	GEL-Colorectal_rare_DBS5_b	GEL-Bone_SoftTissue_common_DBS13+20	GEL-Bone_SoftTissue_rare_DBS1	GEL-Bone_SoftTissue_rare_DBS18	GEL-Bone_SoftTissue_rare_DBS5	GEL-Bone_SoftTissue_rare_DBS19	GEL-Bone_SoftTissue_rare_DBS28	GEL-Lung_common_DBS2	GEL-Lung_common_DBS13+20	GEL-Lung_rare_DBS28	GEL-Lung_rare_DBS27	GEL-Lung_rare_DBS18	GEL-Lung_rare_DBS1	GEL-Uterus_common_DBS13+20	GEL-Uterus_rare_DBS28	GEL-Uterus_rare_DBS14	GEL-Uterus_rare_DBS10	GEL-Uterus_rare_DBS29	GEL-Uterus_rare_DBS16	GEL-Uterus_rare_DBS3	GEL-Uterus_rare_DBS18	GEL-Uterus_rare_DBS5	GEL-CNS_common_DBS13+20	GEL-CNS_rare_DBS1	GEL-CNS_rare_DBS14	GEL-CNS_rare_DBS2	GEL-Prostate_common_DBS13+20	GEL-Prostate_rare_DBS28	GEL-Bladder_common_DBS11	GEL-Bladder_common_DBS2	GEL-Bladder_rare_DBS20	GEL-Bladder_rare_DBS5	GEL-Bladder_rare_DBS15	GEL-Bladder_rare_DBS28	GEL-Bladder_rare_DBS18	GEL-Bladder_rare_DBS12	GEL-Skin_common_DBS1	GEL-Stomach_common_DBS13+20	GEL-Stomach_common_DBS26	GEL-Stomach_rare_DBS5	GEL-Stomach_rare_DBS39	GEL-Stomach_rare_DBS18	GEL-Stomach_rare_DBS13+25	GEL-Stomach_rare_DBS28	GEL-Stomach_rare_DBS13+19+20	GEL-NET_common_DBS2	GEL-NET_rare_DBS20	GEL-NET_rare_DBS1	GEL-NET_rare_DBS28	GEL-NET_rare_DBS4	GEL-Pancreas_common_DBS13+20	GEL-Pancreas_rare_DBS25	GEL-Pancreas_rare_DBS28	GEL-Biliary_common_DBS13	GEL-Biliary_rare_DBS25	GEL-Biliary_rare_DBS16+20	GEL-Liver_common_DBS13	GEL-Liver_rare_DBS20	GEL-Lymphoid_common_DBS11+13+20	GEL-Lymphoid_rare_DBS1	GEL-Lymphoid_rare_DBS30	GEL-Lymphoid_rare_DBS22	GEL-Lymphoid_rare_DBS5	GEL-Oral_Oropharyngeal_common_DBS4	GEL-Oral_Oropharyngeal_common_DBS11	GEL-Oral_Oropharyngeal_common_DBS13	GEL-Oral_Oropharyngeal_rare_DBS2	GEL-Oral_Oropharyngeal_rare_DBS1	GEL-Oral_Oropharyngeal_rare_DBS5_a	GEL-Oral_Oropharyngeal_rare_DBS5_b	GEL-Oral_Oropharyngeal_rare_DBS16	GEL-Oral_Oropharyngeal_rare_DBS36
AC>CA	0.00399406039211726	0.00755198139324609	0.0131656914403568	0.0156732732121796	0.0223783927177176	7.83207360414153e-13	2.89615630747241e-05	0.00425156480649229	0	0	0.0160264109141261	0.0120622871307657	0.0163015870503911	0.0109126742275858	0.0186129810494223	5.09545306579484e-178	0.00576910232919954	0.00437558955200094	0.0130173614074252	0.00935502945688806	0.00170244785886666	0.0147916234936927	5.85207993892535e-08	0.00272823994165355	0.210033334579866	0.054784416551273	0.00991062386900455	0.0402192854084006	0.00133830456820678	1.78248112553632e-60	0.0259625844257295	0.334643786517655	0.17235739132991	0.00691830879681347	0.00417729808991232	0.0011207289020459	0.0498060658255091	0.051225290474489	0.0086732260151538	3.08772565635325e-09	0.00674277833116236	0.000436641758406937	2.68715727494933e-05	0.00656635435045115	0.0232308619127188	0.0290607924131666	0.00111395245329091	0.00531877930290264	0.0244414015605266	0	0.00103366819048181	0.000144555008620967	0.00931034482758621	0.0178183159885816	0.0109405282024817	0.0049540887088487	0.0194709074249911	0.0388714032671555	0.00906778891773597	0	0.00692937015374656	0.00448765893792072	0.00204736731364811	0.0103236245601999	0.00193244432272541	0.0161290322580645	0.025548116508763	0.0101265901568728	0.000872885398763242	0.023577052993665	0.00357658789961779	4.95628718469929e-05	0.0297049493874268	3.33761361844154e-07	0.00345276494108669	0.00122850122850123	0.00781521867550467	0.0490273936620656	3.01149579598404e-18	0.0870055427592081	7.11882179997052e-07	0.0199900559892198	0.0127082640657574	0.02659203736811	0.00230349755547198	0.013361430847209	0.000414984849548566	0.0250823965499386	0.0112632519825278	0.0161550888529887	0.0434782608761436	0.0273283240777958	0.00425531914893617	0.0122519545907244	0.0182775557619917	0.0128458498023715	0.0421237752453381	0.013840830449827	0.00138290853355638	0.0237128600358234	0.0251741028795879	0	0.00920711937945319	0.00508151083830545	0.00861879964162608	6.38233590391013e-11	4.30064257705976e-12	0.000212988478756224	0.0220273338990421	0.012799076992079	0.0394779443351719
AC>CG	1.09868598966836e-19	0.00115685429593939	0.00227301568136789	0	0.000172184492411444	0	0	0	0	0	0	0	1.40453567621426e-19	1.24240290552944e-19	0.000654963144803739	0.0012022563003962	0.00107012310011459	0	0.00134790943441672	0.000755293214810863	0.000709070155855643	0.000750820558280883	0.000718348149626118	0	0	0.00377482911112759	1.79814293935433e-20	0.00910477301275427	0.000516157823717668	0.000125462522194659	0.000769819343871735	0.00469598043199931	0.00241022547471341	7.53339612869404e-05	3.47379583689184e-05	6.37413608238447e-13	0	0	0	0	0.000919469772431232	9.25815329890308e-05	0	0	0	0.00294910938656682	3.25927166027016e-05	0.000487141537411597	0.000380780722698022	0	0.000818412960658733	0	0.000344827586206897	0.000645300525879119	0.000102011983270924	0.000171825029077455	0	0.00165558573456056	0.000107698202243827	0	0	0.00224382946896036	0	0	7.30484689315675e-10	0	0.000952420001101863	0.000246604783471552	1.91253271421344e-20	0.003420108928341	0	0	0.00105244748718204	0	0.00385679671562212	0	0.0019993396671811	0.00411227798286068	0	0	1.78822230936224e-07	0	1.35503970068441e-05	0	0.000188040616773223	0	8.73816250750873e-05	0.00146738948209531	0	0	0.0108695652204907	0.00430645210682349	0.00425531914893617	0	0	0.00148221343873518	0.00763456805927587	0.00692041522491349	0.000537915087663084	0	0.000368088674607853	0	5.63546796715469e-20	8.53957875490034e-20	8.20059689383882e-05	0.000729057400574909	5.31986959565595e-05	0	0	0	0
AC>CT	1.09868598966836e-19	0.0117588421225784	0.00350159725498068	0	0.00582586019195242	9.23786401997573e-09	0.00611609364532159	0.00230800337235809	0	0.00736078368813985	0.025935453957456	0	0.00562157812410172	0.00671632921835709	0.00557225091919373	0.00132398601206159	0.00821615536056372	0.00131564443639103	0.0181050524955451	0.00524126045660706	0.000215907106691092	0.00976904586360256	4.02127476654358e-08	1.94853369191334e-16	0.402860681799908	0.0416109069459182	1.79814293935433e-20	0.00408947731154361	2.34640118805634e-09	1.89790721657559e-60	0.0180953807629834	0.535744763748062	0.278785165009198	0.00358912401416812	0.00244272894703923	0.00754183181141873	1.58887311924009e-10	0.071981561930777	0.0145945869793191	0.00388113168390713	0.00406099149490461	0.00279193913713527	0.00239867052197396	1.14887286945178e-11	0.00651649600112738	0.0180449166537641	0.00043392707779116	0.0039220582026098	0.0109325441004744	0.0243956747096084	1.08829773926432e-05	0.00149629773708186	0.00672413793103448	0.0061471442593488	0.00808587031993659	0.00159956337844862	0.00617781978689192	0.00860871309886088	0.00272560356248474	0	0	0.00523560209424084	0.00613359612804733	0.00686903433226629	7.76794647341809e-05	0.00268817204301075	0.0066482374661156	0.00285309229298523	1.91253271421344e-20	0.0120585215737718	0	0.00103204102719647	0.00716277261674876	0.00616136300152957	0	0.00982800982800983	0.0040258555311464	0.0150315203815809	3.06703962078188e-11	0	0.00217492134592783	0	0.00444984499932644	0.013322525564801	0.0016453553967657	0.0107425211257498	0.00185185467621629	0.00953572222122859	0.0113129061817873	0.00161550888529887	0	0.00854659851685987	0.00851063829787234	0.010453273237592	0	0.00197628458498024	0	0.00346020761245675	0.00203161675810304	0.012777204585793	0.00861989657502413	0	0.0114437655027527	0.00789708757900678	3.74943265370471e-18	0.00023462266307236	3.26245839167787e-11	0.0196009339783483	3.47453922886638e-05	0.00594022868987482	0
AC>GA	1.09868598966836e-19	0.00438944001665936	0.00940945720812953	0	0.000427352701360719	6.6038595664886e-07	0.00123880748283158	0.0101188830418521	0.0140809277914546	0	0.00791703130225934	0	0.00846563176025273	0.00659205207793483	0.00119242612782379	1.18760211003281e-80	0.0103262790106109	0.00213300196369127	0.0149502253231616	0.00214233096236744	3.91848019085637e-24	0.000458712562183873	0.00346756304739846	0.00175019022073468	0.00567585463141776	1.07337709292305e-18	0.00731883698853658	0.018364773953693	0.00322775415762349	0.000523300651110859	0.000910170978398069	0.00230467503497645	0.00189256937076335	0.00388562402067663	0.00525173862557709	0.001298781226416	0	0.0107811638830941	2.37460709006816e-08	0	0.00528695119147958	0.000201526662095113	1.14102898385569e-11	1.23581361301095e-19	0.00793557546051237	0.0102659046223901	0.00103365555643447	0.00387462532198437	0.00186041628398185	0.0121309026624485	4.20719725507727e-05	0.000307123647563773	0.00672413793103448	0.00122233141456581	0.00904352980049501	0.00532717304139158	0.00616203182989151	0.00963843469147477	0.00545929159754069	0	0.00707739133605451	0.00598354525056096	0.000487648820001797	0.00941456690085176	4.63224069735006e-11	0.00896057347670251	0.00279491524696249	0.00567554243576068	0.00164290292185027	0.00812902219330831	0	0.0123819592751886	1.03949658932724e-06	0.0116193155145368	0.00640867642557642	0.00153562653562654	0.00806440666495156	0.0104154110647297	0	0.0460383423329168	2.74130792854808e-09	0.00501288325062747	1.87168766607248e-07	0.013328856713944	0.00239751786385859	0.0192054589830004	0.000160328461881799	0.00136176450245539	0	0	0	0.00430645210682349	0	0.01403731832278	0	0.00296442687747036	0.0235483308133386	0.0103806228373702	0	0.00401246638137638	0.00271813637791041	0	5.63546796715469e-20	0.00158844826404297	0.00271635386391995	0.00144215878428617	2.43196097753047e-10	0.00408191793694398	0.0026950797978597	0	0.0285237333928309
AC>GG	6.9704037004216e-05	6.15397716067169e-20	0.00322979995211157	0	2.62854523785689e-44	0	0	0.00246867963506107	0	0.00394983833246358	0.00414783289110476	0	4.93424382887088e-05	0.000350027419566527	0.000250280830412533	0	0.00212533744843535	0.000819562498718411	0.00479255754416581	5.70954047529667e-20	1.39778370743184e-17	0.000516054793645015	4.50907744833658e-07	1.64127635376256e-11	0	2.84668079549212e-20	0.00189765338776201	0	0.000150150658597928	0.000178974789332393	0.000413564598957086	1.65983873429031e-17	0	0.00104181813770375	0.000365213459707777	5.41930827407814e-15	0.00784508179865204	0	0	0	0.00130258217761091	2.41362730557886e-06	0	0	0.00791070718006569	0	0.000110163828589112	0.000361342409154852	0.000428832361975464	0	0.000765443144049457	9.00772788291557e-05	0.00224137931034483	0.000248635647759752	0.000791576097862745	0.000292473634335057	0.000147084905732019	1.60377997856601e-11	0.000125751014804468	0.00622042767571276	0	0	0.000254683915229224	0	0.00190244787538823	0.000896057347670251	0.000946185763564564	0.00147962870082931	1.91253271421344e-20	0.00190303879194422	0	0.00232436252512269	0	0	0.00553154805449252	0	0.000649296216095402	0.00416381902834116	0	0	0	0	5.02601757942566e-09	0	0.000188040616773223	0.000512188260323291	0	0.000724950008336024	0	0.00161550888529887	0	0.00208683895057895	0	0.01403731832278	0.00944300006339167	0.000988142292490119	0	0	0	0	0.00482990423773673	0	0.0058801647193174	8.53957875490034e-20	6.01870649330948e-20	0.000745255501997867	5.71622569461865e-05	0	0.00323641464459215	0	0
AC>GT	0.00207944206329329	6.15397716067169e-20	0.00820566609441776	0	0.00399302800052778	0.000594935045420474	0.00149479594994965	0	0.00654359532255376	0.00312068388226716	0.00380558418308435	0	0.00259292783832196	0.00420085069494713	0.00552398809735103	2.2886118571267e-259	0.0682841520871576	0.00480184687128945	0.012136811578668	1.67099406472118e-09	4.69774471810422e-21	0.00446734841474757	1.22409607710814e-07	0.00409554305833875	0	2.84668079549212e-20	0.00456285128187248	0	5.25692444504341e-27	0.000814891125737832	0.00480111391805291	0.000846297134196539	0.00463365089288267	0.0108507656908147	0.0060562943212822	9.96660297234524e-18	0.0074217567456463	0	0.00177167663957923	0	0.0057466860776952	0.00123093837568614	8.97742977278702e-05	3.77497939693868e-09	0.00788078260164031	0.00691971563507651	0.000326181658701301	0.00189109477428297	0.00525207960046309	0.0122002808246796	2.38377247004592e-11	0.00105250082293672	0.00568965517241379	0.00699255129828149	0.0452538747718559	0.0182867240614455	0.0526931160761977	0.00398039560351715	0.0103928509648068	0	0	0.0074794315632012	0.00370596746924271	0.0790819944797938	1.77331270930316e-16	0.0053763440860215	0.0113916348874386	0.00410999261639922	0.000108140612818018	0.00936984554599514	0.000148806708557993	0.00769366185411409	0.00443271683267455	0	0.000983061304196518	0.00675675675675676	0.00474754363408202	0.00579406524316839	6.69177425691605e-09	0.0106057799867391	0	0	0.00436641815270692	0	0.000564121850319669	0.00813465877976521	0.00151813231683428	0.00590468735852925	0	0.00807754442649435	0	0.0104341947528948	0	0	0	0.00296442687747036	0	0	0.00107728524620875	0	0.0193196169509469	0	5.63546796715469e-20	8.53957875490034e-20	6.01870649330948e-20	0.00149367422040194	0.0012590520223682	0.00519359924856071	0.0160600137518065	0	0
AC>TA	1.09868598966836e-19	0.00447047350749292	0.0154422598572552	0	0.00124925629978766	1.54179406461363e-06	0.00338650465805594	0.0011903346319404	0.00381176520883632	0.0108729252851335	0.00331646240958358	0	0.00826583776193607	0.0162381448132122	0.00172802422167034	0.00785288566243929	0.00350345654193974	0	0.0259288401764108	0.00634208102954726	0.0006707206381393	0.000316800917373115	3.36832453038859e-15	1.01163240016591e-22	0.00549976008538303	0.0119756186510497	0.0116224908052091	0.0164960089010824	0.0050953269049557	0.00119144707274334	0.00191634845473393	0.001718029421916	0.00272339428199983	0.000953093118171829	0.000712913696073479	3.14902446933658e-06	1.75720704526697e-07	0.00203214633790075	0.00825288195152071	0	0.00597655352080301	0.000974787417730045	1.01933228405112e-05	0.00264485745824354	0	0.00253491716090998	0.00248106007579321	0.00651855538263971	0.000772355891322212	0.0120381811970557	7.93492187445058e-07	0.000634340181531932	0.0120689655172414	0.00212306042316985	0.00149748232668113	0.000153381085451767	0.000854359699139995	0.0305001856416375	0.000432624479071536	0	0	0.0104712041884817	0.00285303188842903	1.23037157781042e-07	7.12593326417652e-09	0.00985663082437276	0.00469352205757236	0.0115951649096312	1.91253271421344e-20	0.0059575342201029	0.00523456401093788	0.00977818650288506	0.00148298808105598	1.3634416694752e-06	0.00315881286242917	0.00184275184275184	0.0100520857051277	0.00468122077796257	0	0.0103549125794647	0.00453104564574979	0.00553118138675501	0.0023379995592669	0	0.0040898834148176	0.0145410324597413	0.00133577813696803	0.00496342323490755	0.0111284389360799	0.0226171243941842	0	0.000605336938301756	0.00425531914893617	0	0.0182775557619917	0.00197628458498024	0	0.00692041522491349	0.0019408100475328	0.0049925788165485	0.0118111640258779	0.00305429689495556	0.00139081848743213	0.00614603660417095	0.013669290872321	0.00671537628577313	1.42949670002555e-12	0.009919934264511	0.00513758019973672	0	0
AC>TG	0.000241174760361002	0.00835612878806905	0.00263471904468245	0.00786440493605078	5.14742479034898e-12	2.06915222424178e-11	0	0.00241921526536487	0.0149561142326268	0	0	0	0.00547441418127153	0.00270125722344661	0.000438793794464549	0.00423509973044899	0	0	0.0100454933646082	0.000999302360425961	1.17980171465487e-19	3.04559249117661e-13	2.89238917759816e-06	6.15177968755412e-12	0	6.50996524362336e-09	0.00272845883595494	0	5.23806567771367e-05	0.000629966439464094	0.000456788420615518	0.000741820069042043	0.000451090541874082	0.000196967794370735	0	0.000953688937674805	0	0	0	0	0.00183893954486246	0.00024003375700889	5.87421034748985e-12	0.000419339088292772	0	0.000648482166229619	0.000213616446847286	0.00157559424426359	0.00120342643529456	0	4.41568936930949e-13	9.80895857231972e-07	0.00431034482758621	0.000575107474929006	0.00028156590139161	7.79315136648153e-28	4.59672512893069e-08	4.6325102877528e-08	0	0	0	0.00299177262528048	1.694479839108e-07	0	7.28884401499659e-08	0.0017921146953405	0	0.00172623348430086	0.000760954890729445	0.00150831030969267	0	0.00195895742045905	0	0.00355153435232667	0.00150626095785649	0.00337837837837838	0.00320797570138683	1.28963974990056e-19	0	0	0	0.00722199961729474	0.000732273114088193	0	0.000658142158706281	0.00175785588607997	0.000250872822165748	0.0006811827384593	0	0	0	0	0	0	0	0.000988142292490119	0.0163065541289526	0.00692041522491349	0	0.00499256945202081	3.81350978970116e-06	0	0.00234917583268712	8.53957875490034e-20	0.00146369796548947	0.000321669394053001	0.000123006216967772	0.00967700927672201	0.00305805916560633	0	0
AC>TT	0.00399843985263474	0.0112167327341994	0.0132051466292735	0	0.000350991182914317	8.48069102761392e-06	0.0184347034145045	0.00141774523476753	0.0123728414484639	0.000370766122372337	0.0149336654473928	0.0120347717087729	0.00657169723770497	0.00952934935156385	0.0012372149473519	0.00462741393158558	0	0	0.0224758193773095	0.00882004156958551	0.000603594342199072	0.00134984861137303	5.71522170410331e-08	0.000887596250716997	0	0.00938666291855896	0.0116578455869565	0	0.00210515130378448	0.0035866358597459	0.000806992143374191	0.000294036767672938	0.000870169941254201	0.000743106942489311	0.000394045846776039	0.00638247941364529	0.0105729888706312	0	3.73042150149198e-06	0.00727019798657193	0.00950118764845606	0.0170782145778857	0.00315323771746988	5.10383109719027e-07	0.0209178881301959	0.0122915639052121	0.00354041792348382	0.011760294637217	0.00377744237702686	0.0118534994936731	2.35291774951864e-05	0.0121874157246973	0.00775862068965517	0.00175359667837456	0.00529118180332966	0.00146546574528498	0.00269568901210991	0.00444145476553623	0.00056748491487608	0	0	0.0149588631264024	0.0296614922993111	0.00456393951369666	0.00014704361680502	0.0170250896057348	0.0027387988994845	0.00756855662861891	0.00354129553423217	0.0130577659244673	6.62769619896465e-15	0.0540138755733637	0.00183300730363721	0.000126059391385279	1.05775613749847e-05	0.0279484029484029	0.00840857958760491	0.0143759146942823	0.00542617580799496	0	1.42284487584842e-13	0.00537097271749719	1.26786045006736e-07	0.0133171498837874	0.00554719819481008	0.0138223602117681	0.0167019616744165	0.0048482122685211	0.0338926134107141	0.00323101777059774	0	0	0.00851063829787234	0	0	0.00790513833992095	0.0115543326997978	0.0103806228373702	0.0110489905302503	0.0177846450278728	0.0253944222969934	0.00197282576976956	5.63546796715469e-20	0.0177268546028144	0.0027097720781354	0.00365232921077437	0.000768153715910473	0.0182198072806305	0.00761119850243583	0.0842863925517333	0.0136110042320756
AT>CA	1.09868598966836e-19	0.00720753925424038	0.00418911599473129	0	0.00302358420975848	1.2847460668055e-07	0.00214566076563187	0	0.0147885014287638	0.00762945052349957	0.00843849739632305	0	0.00631495090537852	0.00803742756443229	0.003939962032799	3.37315513873234e-57	0.00601257443826675	0.00626663164781093	0.00675171699495267	6.87960823570991e-09	3.92248772364567e-49	0.00457129769703115	0.00280100631032674	3.41096430693052e-10	0	2.84668079549212e-20	0.00554270027059259	0	0.000898851038967811	0.000268799747437275	0.00409216549216302	8.23167523832419e-27	0.00239810746645618	0.00632164536537835	0.00801906553051321	2.10528754072357e-11	0	0.0134802418281496	0	0	0.00413761397594054	0.000561077438604052	0.00284899396826887	3.15432392210142e-10	0	0.00840581957273359	0.000230649644024196	0.00192801599279737	0.00645160854466784	0	2.7897924226974e-15	0.00105141067149412	0.00517241379310345	0.00366358841924647	0.00247383351579351	0.00442826595760731	0.00256518080938828	0.0461108979069202	0.00738647201532167	0	0.00716512288488269	0.0037397157816006	0.0011062334888712	0.00199326909839228	1.98185763460208e-07	0.00448028673835125	0.00758818900845888	0.00365472502618336	0.000390363868876482	0.00912323830028737	2.12968105819319e-10	0.00795511996560926	0.00455280216804613	0.00278281275958439	0.00107334390179406	0.000921375921375921	0.00598501552913066	0.00514372435261741	0.000271151283816266	0.0106297555868348	0.00194360335402864	0.0062718002175028	0.00446309967769119	0	0.000799172621286198	0.00697956331308874	0.00102912883086675	0.00292047730425281	0	0	0	0.0172258084272939	0	0	0	0.000494071146245059	0	0.0173010380622837	0.00232388922313731	0.0227858507867162	0.0482736137139384	1.30367531154629e-05	0.000927562928152789	0.00204382306775487	6.01870649330948e-20	0	9.19543964807352e-09	0.00511273170256403	0.00766365483806083	0.00694763833481194	0.0431398376251116
