Hartwig-Breast_common_DBS11	Hartwig-Breast_common_DBS13	Hartwig-Breast_common_DBS20	Hartwig-Breast_rare_DBS5_a	Hartwig-Breast_rare_DBS18	Hartwig-Breast_rare_DBS21	Hartwig-Breast_rare_DBS5_b	Hartwig-Breast_rare_DBS2	Hartwig-Breast_rare_DBS28	Hartwig-Breast_rare_DBS27	Hartwig-Breast_rare_DBS26	Hartwig-Breast_rare_DBS24	Hartwig-Ovary_common_DBS13+20	Hartwig-Ovary_rare_DBS18	Hartwig-Ovary_rare_DBS5	Hartwig-Ovary_rare_DBS20	Hartwig-Kidney_common_DBS13+20	Hartwig-Kidney_rare_DBS13+19+20	Hartwig-Kidney_rare_DBS19	Hartwig-Colorectal_common_DBS2	Hartwig-Colorectal_common_DBS5	Hartwig-Colorectal_common_DBS20	Hartwig-Colorectal_rare_DBS2	Hartwig-Colorectal_rare_DBS8	Hartwig-Colorectal_rare_DBS18	Hartwig-Colorectal_rare_DBS29	Hartwig-Colorectal_rare_DBS28	Hartwig-Colorectal_rare_DBS27_a	Hartwig-Colorectal_rare_DBS10	Hartwig-Colorectal_rare_DBS27_b	Hartwig-Colorectal_rare_DBS26	Hartwig-Colorectal_rare_DBS16	Hartwig-Bone_SoftTissue_common_DBS13+20	Hartwig-Bone_SoftTissue_rare_DBS1	Hartwig-Bone_SoftTissue_rare_DBS18	Hartwig-Bone_SoftTissue_rare_DBS5_a	Hartwig-Bone_SoftTissue_rare_DBS5_b	Hartwig-Lung_common_DBS13+20	Hartwig-Lung_common_DBS2	Hartwig-Lung_common_DBS5	Hartwig-Lung_rare_DBS19	Hartwig-Lung_rare_DBS18	Hartwig-Uterus_common_DBS13+20	Hartwig-Uterus_common_DBS11	Hartwig-Uterus_rare_DBS5_a	Hartwig-Uterus_rare_DBS18	Hartwig-Uterus_rare_DBS28	Hartwig-Uterus_rare_DBS5+19	Hartwig-Uterus_rare_DBS5_b	Hartwig-CNS_common_DBS13	Hartwig-CNS_rare_DBS14	Hartwig-CNS_rare_DBS11+20	Hartwig-CNS_rare_DBS19	Hartwig-Prostate_common_DBS13+20	Hartwig-Prostate_common_DBS13	Hartwig-Prostate_rare_DBS28	Hartwig-Prostate_rare_DBS27	Hartwig-Prostate_rare_DBS35	Hartwig-Prostate_rare_DBS5+19	Hartwig-Prostate_rare_DBS2	Hartwig-Bladder_common_DBS11	Hartwig-Bladder_common_DBS13+18	Hartwig-Bladder_common_DBS20	Hartwig-Bladder_common_DBS2	Hartwig-Bladder_rare_DBS28	Hartwig-Bladder_rare_DBS18	Hartwig-Bladder_rare_DBS5	Hartwig-Bladder_rare_DBS31	Hartwig-Skin_common_DBS1	Hartwig-Skin_rare_DBS13+20	Hartwig-Skin_rare_DBS21	Hartwig-Skin_rare_DBS2	Hartwig-Skin_rare_DBS27	Hartwig-Stomach_common_DBS13+20	Hartwig-Stomach_rare_DBS18	Hartwig-Stomach_rare_DBS5	Hartwig-Stomach_rare_DBS19	Hartwig-Stomach_rare_DBS13+25	Hartwig-Stomach_rare_DBS40	Hartwig-Stomach_rare_DBS13+20	Hartwig-Stomach_rare_DBS26	Hartwig-NET_common_DBS13	Hartwig-NET_rare_DBS5	Hartwig-NET_rare_DBS20	Hartwig-NET_rare_DBS27	Hartwig-NET_rare_DBS34	Hartwig-NET_rare_DBS41	Hartwig-NET_rare_DBS32	Hartwig-NET_rare_DBS20+25	Hartwig-Pancreas_common_DBS13+20	Hartwig-Pancreas_rare_DBS13+19+20	Hartwig-Pancreas_rare_DBS20	Hartwig-Pancreas_rare_DBS28	Hartwig-Pancreas_rare_DBS18	Hartwig-Biliary_common_DBS13+20	Hartwig-Biliary_rare_DBS5	Hartwig-Biliary_rare_DBS18	Hartwig-Liver_common_DBS13+20	Hartwig-Liver_common_DBS13	Hartwig-Liver_rare_DBS18	Hartwig-Esophagus_common_DBS5	Hartwig-Esophagus_common_DBS26	Hartwig-Esophagus_common_DBS13+20	Hartwig-Esophagus_rare_DBS18	Hartwig-Esophagus_rare_DBS24	Hartwig-Esophagus_rare_DBS5	Hartwig-Esophagus_rare_DBS2	Hartwig-Esophagus_rare_DBS19	Hartwig-Head_neck_common_DBS13	Hartwig-Head_neck_rare_DBS5	Hartwig-Head_neck_rare_DBS11+20	Hartwig-Head_neck_rare_DBS18	Hartwig-Head_neck_rare_DBS4	Hartwig-Head_neck_rare_DBS5+19+20	Hartwig-Head_neck_rare_DBS20+25	Hartwig-Lymphoid_common_DBS22	Hartwig-Lymphoid_rare_DBS7	Hartwig-Lymphoid_rare_DBS1
AC>CA	0.00130851703748266	0.00471739031631577	0.0141743954018326	0.00116529221969214	0.0022019172667319	0.0974113134676187	3.34617809869175e-06	0.000814034654801506	0.0353667614952169	0.00511704763892387	0.00942623187643653	0.0106382978694719	0.00373412994772218	0.00480526780892501	0.00316108153290113	0.015125128115263	0.0107345821932225	0	0.0529815353275243	0.000830250461112308	0.00407038572151709	0.0237103244655724	0.000764901018776886	0.305060537688033	7.94929625442107e-10	0.0206032395795137	0.0465159603979317	3.2952454977451e-05	0.00320330744221077	0.00018827609771738	0.104969675649281	0	0.0072680632749038	0.000605997454591621	0.00814279984926833	4.65111782037774e-10	0.00424783968625716	0.00542253332298346	0.000220066023330563	0.00351285197483723	0.0870041337121091	0.000313946703670359	0.0116586318898491	1.61074789126244e-19	1.23923952280296e-10	0.00469420710262548	0.0603628707444175	0.0463804304894301	0	0	0.0318470872816708	0.00517368819667167	0.0452657631852013	0.0117354774352674	0.0049592677380619	0.0646018574120945	0.00235524876078186	0.0346208811779334	0.0140077315986705	1.79535959818306e-07	0.0114397080064024	1.52897228659288e-20	0.0181762457959108	0.00172920631311492	0.067535752972699	0.000153789911766757	1.33197041999656e-05	0.00282906588071881	0.00112596762843068	0.0202139955968768	0.157062942677716	0.00261870314570969	0	0.0211132437619962	0.0038398637444968	4.17904297767496e-08	0.0610751613443118	0.00658576806512321	0.0459958286788422	6.73562134124003e-09	0.095610609549049	0.0072463768115942	0.0103324248892518	0	0.0127212773218474	0	0	0	0.0134651832008513	0.00849673202614379	0.0293852651432944	0.0116628026828548	0.0475407045362947	0.00391756803755407	0.010840108401084	0.0140219267173384	0.00228932745158345	0.0058020561110292	0.00343215776034152	0.00224632358411091	0.00472588389400883	0.0519056011852657	0.0144327097000928	1.9458238748775e-06	0.00453882457025025	0.00575347539828079	2.69196436212768e-12	0.0345534801736602	0.00318302387267904	0.00109425014101927	0.00205982041789949	0.00279055895220186	1.17873033672309e-05	0.0468324124876856	0.0214105619727038	0.0160349854227405	0.0614929002772082	3.64590284311789e-18
AC>CG	0.000416349685573162	0.000729533347261028	0.00222667939151859	0	0	0	0.00179349726903962	0	0.00144182237716612	0	0.00580386488521856	0	0.000746825989544436	0.000127574727016085	1.18141346915584e-72	0	0.00273626604925279	0	0.00610361822707915	8.414242671626e-05	6.43971787396533e-05	0.000802034134565308	0	0.00388996093943391	0	0	0.000242945532526263	0	0	0.00293091891406445	0	0	0.000427533133817871	0.000165888281471459	0	0	0	0.000504351073484896	0.000134701821734235	2.95770432963486e-21	0	0.000342126368136198	0	0	0	0.000482198177909456	0	0.00688150623621407	0	0	0	0.00517368819667167	0	0.00166608396161756	3.18915429741076e-20	0.00104640243861355	0.00996000397313327	0	0	0	0.00169187164104925	1.52897228659288e-20	0.00204577616208727	9.51176960166369e-21	0.000587153670113107	2.28074680138514e-23	0	0	0.0002990851513019	0.00170013358159931	0	0	0	0	0	0	0.0011157791316968	0	0	0	0	0	0	0	0.0150060265693922	0	0	0	0	0	0	0	0.00217007270224273	0	0.000903342366757001	0.00158532854095174	0	2.95450769046052e-20	0	0	7.41294562710689e-20	0.0049135114814767	6.04570029898002e-20	0	0	0.000141996093512076	0	0	0.00212201591511936	0	0	0	1.5076573362902e-22	0	0	0	0.00545302492591922	0
AC>CT	0.00137985616548939	0.00433488115303681	0.00675801494335019	1.77677708378056e-13	0.00110109116993948	0.0136035802419061	0.00310393971539605	1.67789041027994e-22	0.00612519441036088	0.00843411190564303	0.0182659937981375	0	0.00373412994772218	0.00437907654566259	2.4252933311079e-09	0.00289972668849361	0.00989265417806777	0	0.0105467412114225	0.000347415328881616	0.00148539739143243	0.0108800385451725	0.00245000107929075	0.520363116920329	1.68147165604427e-23	0.00685094734183992	0.0109182072462832	0.00545449585446651	0.00168254818844037	2.83435720164555e-08	0.0132680521321329	0.0132717447405249	0.00598546387345019	0.00220789591005719	0.00104190466876146	0.00187564381686231	0	0.00393655953102361	0.000249595766171827	0.00074242697598476	0.00778203821589262	0.00250183067156856	0.00413709813571965	0.00354344797264692	5.69141021973591e-05	0.00115368776430033	0.00942224713322627	0	0	0.0201005025125628	0.00731785607953103	1.99160947079956e-09	0.0118016019354246	0.00156208371166405	0.00427090051137723	0.00465626773700751	0.00397336219482322	0.0191926470170701	0.00279689042557103	6.25758570250191e-06	1.43128079684887e-20	1.52897228659288e-20	0.00414982979186462	9.51176960166369e-21	0.00370727511639734	0.000111323065495563	0.00187514946027701	0.00622276770733169	0.00490851513019001	0.0119894749854428	0	0.000663054631267312	0.0165249246123278	0.00959692898272553	3.00583019408054e-08	0.00400237608418684	0.00582545216303053	0.0435689186030731	0.0310918766224722	0.000276215220613054	0.0233324454261976	0.00483091787439614	0.00366702604321509	0.00771633616687321	0	0.0152636302199551	0	0	0.0138259841605586	0.00196078431372549	0	0.0223287258553098	0.0042937724474515	0.00599369189371237	0.00451671183378501	0.00241060704061875	0.0020933387476906	0.00190254986289888	0.00422613918618667	0	7.41294562710689e-20	0.0193865022558094	0.00762496118336271	6.15608288355501e-05	0.0149474109069864	0.00693571475294159	1.89687793502534e-05	2.62139618516802e-06	0.000530503978779841	0.00271499020895262	0.0112637506824354	0.000790591532601954	0.00288190210843037	0.00989169179095358	0.00743524505112031	0.0131195335276968	0.0053570165816161	0.00177761227781042
AC>GA	0.00276266520697326	0.00793105841057634	0.0167917508494014	1.58151505824253e-14	0.00627455220704303	0.00615048241840633	5.14345526999753e-07	1.38863002678152e-11	0.00173058796979978	0.00872570558425525	0.0163895668506822	0	0.0112023898431665	0.000878795746319916	1.29635220730384e-27	0.0149737742216298	0.0096821721742791	0.00962222477036697	0.00340303158931579	3.68716773019252e-10	0.000695627883815881	0.00946947688363494	0.0035651793743108	3.53178029147796e-06	0.00270353243467022	0.00421966428770701	0.00117790542205329	0	0.0116618845533615	0.0113096039030145	3.10051311329122e-08	0.0135215948092222	0.00812312954253954	0.000192138171331238	0	0.00481325660761708	0.000132540371207994	0.00338324606363245	0.000774215387601228	0.00144991355603677	0.00138620641026971	0.00172983202433294	0.0197149706475811	0.0121983923200923	4.3508241998152e-21	1.03195947665853e-15	4.72696976475518e-07	0	0	0.0050251256281407	0.00513096846972591	0.00191607999295092	0.00627094699075482	0.011909018166397	0.00130235170188565	0.00214318476757777	0.0033709740068722	0.00789942214118664	1.12275647014375e-06	0.0023047483480524	1.43128079684887e-20	0.00190727040265345	0.00790734320282969	9.51176960166369e-21	0.00316395746411303	0.000980152550272861	0.000293909437375678	0.000873366052020484	0.000721323011963406	0.0191661213508841	0	0.00121159739214485	0	0.00959692898272553	0.00254278198324359	0	0.0045650517525312	0.0338060930313763	0.0310918766224738	0.000377244455175006	0	0.00845410628019324	0.00181260631887825	0.00670372500365332	0	0.0145230190721248	0.0654955455701199	0.0160353267913044	0.0278323557741638	0.00588235294117647	0.014558390809599	1.04485692800296e-05	0.000945092221038359	0	0.004516711833785	0.00800454658059399	7.94279255876425e-06	0.00481809021532704	0.00347961213172879	0	0.00678583548660017	0.00835443887678383	0.00662736236736327	0.000331921172313245	5.89581308684392e-06	0.000273748390698265	4.54936861455955e-05	0.000598554827927136	0.00636604774535809	1.13065119408876e-15	0.0066555615808771	1.15679616400228e-15	0.000706466778786906	0	0.0196188744033415	0.00583090379008746	0.00316377337803809	3.45568237432238e-11
AC>GG	0.00127392816050661	0.000641814357115794	0.00231945769949854	0.00277872900510396	0	0.00671839965739459	8.10623283661187e-07	4.61417644332132e-06	0.00118726316022161	0.00276702450053274	0	0	0.00124470998257406	0	0.000364726414081687	0	0.00378867606819617	0.0104111692012615	0	1.47736761895319e-20	0.000461852318915086	0.00125062835131788	9.75793921666639e-308	0.000139758845068029	0	0.00848094460244276	0.000293919863524564	0	0	0.00196620788176492	0	0.014598352597316	0.000855066267635742	0	0	0.00143690713038538	0	0.000737424828812173	1.22434418550363e-21	0.000360218577442801	0.00124931625529723	3.2335626288541e-09	0.00355751497915702	0.0107366154597014	0	0	0.00122850309384199	0	0	0	0.000758263982896924	0.00517368819667167	0	3.26605435751417e-20	0.00241373343099782	0.00086339405242116	0.014801888237782	0	0	4.11623055780592e-18	1.43128079684887e-20	1.52897228659288e-20	0.00294202544745233	9.51176960166369e-21	0.00131496718799811	5.46864461234133e-08	0	0.00477271627064478	0.000140745953553835	0.00132820597603669	0	0	0	0	0.00108302916506274	0	0.0011157791316968	0	0	0	0	0	0	0	0	0	0.0131414810836661	0	0	0	0	0	0	0	0	0	0.00116308485463289	0	0	0	7.41294562710689e-20	0.000645945884931401	0.00265768703693215	0	0	0	0	0	0	0.000491065335799688	0	0.000842612131828138	0	0	0	0.00291545189504373	0	0
AC>GT	2.96654885331907e-08	7.49901584923469e-20	0.00855886580154078	0.00281374937560886	0.00552642811736305	0.0208145643581503	0.00385385949669852	0.000820140821708905	0.0100923453459548	0.0528387981407941	0.0106953830373082	0	0.00323624595469256	0.00232925414858523	0.00289895345292522	0	0.00694590612502631	0.0318112347085603	0.00450892596415559	0.000189915018110564	0.000241831525565749	0.00639307058888256	0.0014127389003849	0.00203130341218794	0.00230067311544023	0.0351909789744609	0.00935085961682466	0.0157371864126487	0.0143366181905295	0.0489675735112004	5.87135206660785e-05	0	0.00427533133817871	0.00153404506356192	0	0.0108057473570829	0	0.00237188803274532	1.22434418550363e-21	0.0014321156605127	0.013990010309961	0.000521391873423846	1.25165343609851e-19	0	0.00479191501602973	0.00530417995700403	0.0179954683254912	0.0275260249448563	0	0.0150753768844221	0.0509293069296504	0.00282530880799435	0.00442450009655859	0.00370773780288715	3.18915429741076e-20	0.00984798715681132	0.0455468616840617	0.00397448341033098	0.0214346457882462	0.00380308187510514	0.000508040105792883	1.52897228659288e-20	0.00418232729724182	0.0023969495047072	0.0092104114611111	1.20889963140118e-07	0.00252081276064684	0.0156936560727895	0.00285010555946516	0.00846529041516212	0.0342738944465058	0.00180192512258125	0.0670978294665684	0.00383877159309021	0.00114871531648572	0.000391047231811365	0.0170080399104015	0	0.0156373922951415	0	0	0.0072463768115942	0.00496303262584788	0	0.0277424572232325	0	0	0.0322879227847824	0.0134651832008501	0.00784313725490196	0.0143964290135719	0	0.0117498696587116	0.0109117237544585	0.00451671183378501	9.38221355268728e-10	0	0.00762090321237623	0.00109512607070015	0	0.00198212493734945	0.00079149152840106	0.00629301047788612	2.80814641976136e-06	0.00565817447407199	4.29840066354029e-06	4.92263544514515e-07	0.0317611372415385	0.000530503978779841	0.000757596062899467	0.0112637506824354	0.00104786337797908	0.00163034946870574	0.0123952359044272	0.0306358307198774	0.00874635568513119	0.0130363798342401	0.000394721138155044
AC>TA	0.000427657091598881	0.00587805557740395	0.0116444544868972	0.0110118691918659	0.00314160118939406	0	6.03423830613294e-07	6.26973981125748e-10	0.000204534285877746	0.0057836001826836	0.00604845596350227	0.0212766067204358	0.0146875777943739	0.00239615994133751	1.53925712517923e-10	0.0116570715378353	0.0138918122500526	0.00903135536867005	0.00901766454292434	0.000179452673195754	0.00109216582931287	0.010311048765026	0.00391080954220753	0.00472678885028139	0.00517348792137262	6.47208339483723e-09	0.000855283577982726	0.00582533419454669	0	0.00876384365499349	0.0122947035522136	0.0576722456576707	0.00384779820436084	0.00128112873991504	0.00398261001681195	0.00220054520337849	0.00597576850858282	0.00584454515961394	0.00201979076647268	0.00225460703243123	0.00389521438760728	0.00243999805956577	0.0131159608760802	0.00398920423804305	2.43397309405454e-13	4.69472216037533e-05	0.00642274357190657	0	0.0178800894811122	0.0100502512562814	0.00314222774764368	0.0181855238705888	0.00185390671627504	0.00716558375693625	0.00676279212074374	0.00233613089560671	0.00269937534908512	0	0	4.76445815375722e-05	0.00197626072218743	0.00607075306177005	0.00939740124509478	0.00267535042959258	0.000643904497772441	0.0014387112079254	1.24973444186616e-11	0.0219009748349851	0.00216396903589022	0.00864942881654906	0	0.00260874534208321	0	0.00287907869481766	0.00501240942547235	0.00140298459549912	0.0052136152346305	0	0	0.0132150489251108	0	0.00120772946859903	0.00572303964384668	0.0449741082680646	0	0	0	0	0.0143671124043396	0.00718954248366013	0.0144505251433153	2.26226564621297e-07	0.00199950152301788	0	0.00632339656729901	0.00304735190369585	0.00472471696111238	0.0117800591917879	0.00305044068637263	0.0039334180812539	0.000938893015039358	0.0164035334665475	0.0104125173316047	0.0113926403069905	0.0145624462862112	0.00767349474077651	2.72913637497856e-06	2.11069098464358e-06	0.00901856763925729	0.00265636405880121	0.00265636941025508	3.28492189469369e-09	4.40345318683117e-07	0	0	0.00874635568513119	0.00755067531339027	2.30058330548775e-09
AC>TG	7.01304298468706e-20	7.49901584923469e-20	0.00593781171071626	0.000140693243945531	0	0	0	0.00123640212373748	0.000447014690465335	0	0	0	0.00124470998257406	0	8.02656497244426e-75	0	0.00399915807198485	0	0.00563057654347226	0.000437212897176091	1.03347140871053e-20	0.00296106838199769	1.52051339023089e-264	6.22721391069613e-07	3.34277906800321e-05	0.00092966628906811	0.000345448610602233	0	0	0	0.00134452502045196	0	0.00213766566908935	0.00020985944302081	0	0.00294392964174393	0	0.00128578168970978	0.000293439254134652	0.00160358225132054	0	1.89520880267215e-14	0.0102013029036179	1.61074789126244e-19	2.20332960166235e-14	1.84110627475822e-13	0	0.00526344331892494	0	0	0	0.015521064590015	0.00323326879894295	0.00266642887740748	0.00317873077474412	0.000359292180664255	0.00408473485262925	0	0	6.54521711052321e-21	1.43128079684887e-20	0.000631882026963344	0.000484049631693018	0.00138303989081148	0.000755080122890318	0.00230362418344776	0.00145859421634881	0	0.000527797325826882	0	0	1.11481727653491e-18	0	0.000959692898272553	0.000398505061118697	0	0.00109934285755899	0.00923694723504099	0.0159108816137738	0.00689388930757282	0	0	0	0.00906203762584966	0	0	0	0	0	0.00326797385620915	0	0	0.00100753202412436	0	0	0.00200873024379613	0.00348925456389868	0.00292278199569931	0.0010595207561163	0	0.00133894823845215	0.00179129988353498	0.00397762790867925	0	0	0.00290272301041018	0	0.00181062057645641	0.00159151193633952	0	0	0	0.00123851672706347	0	0.00683832199937394	0	0.0218120997036769	0
AC>TT	0.00308862961877147	0.0116200495461365	0.00582124205754622	0.00462407082878311	0.00516609438887494	0	0.0156688146580411	1.90312818965685e-06	0.00202337288591892	0.0119302398681483	0	0.0106382870052749	0.00871296987801842	0.013919709486472	0.00714171745402421	9.49978288281488e-07	0.0185224163334035	0	0.00715391489290832	0.00361416522459864	0.0068854854728918	0.0137022758756152	0.00977481514823541	0.0018013694845281	0.0103116651447649	0.00744098382643867	0.00330378559558965	0	0	0.00115062909491512	5.18047276824668e-06	0	0.0123984608807183	0.0130193787460169	0.00923269429847399	0.00386072825328959	0.0012821702942389	0.0150454279833279	0.00115883940546282	0.00833764252462921	0.00141409331297204	0.00486320767324829	0.012281542166001	0.00354831037057528	6.06641234253799e-05	0.0014322930682139	0.00116841206429111	0	0.00746893774822193	0.0201005025125628	0.00620781451067914	0	0.0056840260010714	0.0139909033331629	0.0042045762242979	2.49560709102809e-05	0.017710888562754	0.00617942273220459	0.00679821793877046	0.00514883211059736	0.00343968434693552	1.52897228659288e-20	0.0324919260871011	0.00274311839513189	2.38346853856237e-06	0.000157012013870909	2.7553329775701e-08	0.0790685420422234	0.0253518648838846	0.00683307615233179	0	0.00631976681124985	0.0153090370164183	0.00479846449136276	0.00153190229374908	0	0.00181162045929696	0.00713122305118908	0	0.00452043858879498	0.0116662227130991	0.00120772946859903	0.00840052469798947	0.0268500236797118	0.044641765350801	0	0.0131112154505225	0.0161982598301497	0	0.00784313725490196	0	0.00728479134440098	0.0019839263253618	0.0240476381579775	0.010840108401084	0.00413479353065555	0.00296598139717192	0.0110995693043361	0.0020434814071542	0.00246288380822346	7.41294562710689e-20	0.0056297195705653	0.0115051889602667	0.00553532739415832	0.0119703421777859	0.0181000913688793	0.00344718219755108	0.00479458975423292	0.00530503978779841	0.00266319742960571	0	0.00172155509878235	8.54088607225603e-05	0.00121282986585602	0.0124814626156652	0.0116618075801749	1.71727404435418e-05	0.0127168312063158
AT>CA	0.000465069459353051	0.00153224296125449	0.00645776265128874	4.31840394472674e-45	0.0010044030492526	0	2.46289771965508e-12	1.22176339523745e-13	0.00184764234713477	0	0.00485641130161932	0	0.00174259397560368	1.92387182616573e-60	0.000975003877356215	0.0106915715452882	0.00168385603030941	0	0.0207362231751725	1.24595724463791e-08	0.00111103528226526	0.00457170062562832	0.000352902850860663	1.93291522254031e-10	0	0	0.00107962806102425	0	0	2.19467343823649e-08	0	0	0.00555793073963232	0.000468301020721634	1.90943251761746e-14	0	0	0.00134130329443903	0.000115655155362287	0.000649993448126173	0.000680617930534223	9.47908313400823e-05	0	0	0	0.000964396355818914	0.00276853358853711	0	0	0	0.00227479194869077	0	0.00323326879894295	0.00674598059781712	3.18915429741076e-20	0.00214564566214299	0.00430667276120427	0.0254034088988094	0.00558428583979646	0.00141212403879994	0.00107772615696853	1.52897228659288e-20	0.00632139314954541	0.000429289760797202	0.00185787734490872	0.00107609604831467	2.29765980248809e-14	0.000126097998710985	0.000809289232934554	0.00580969444164907	0.0172859656127632	0.000383010693991242	0.0167687030404074	0.000959692898272553	0	0	0.00539262289438684	0.00923694723504099	0.0159108816137738	0.00689388930757265	0	0	0.0029373003185891	0	0.0150060265693922	0	0	0	0.0145474718492141	0.00522875816993464	0.0146121646748174	0.0063492166413044	0.00421638865372822	0	0	0.00200873024379613	0.00348925456389868	0.00175366919741958	0.0011406757724853	0.00137174962225088	0.00602742260099485	0.00355371532858782	0.00411557181213793	0.000534880913126141	0	0.00990712143709857	0	0.000586200920323817	0.00318302387267905	0	0	6.67865495183314e-19	7.37671194030078e-10	0.00677440983843337	0.0214105619727041	0.00583090379008746	0.0305206722438226	2.19495549795598e-07
