ICGC-Breast_common_DBS11	ICGC-Breast_common_DBS13	ICGC-Breast_common_DBS20	ICGC-Breast_rare_DBS28	ICGC-Breast_rare_DBS27	ICGC-Ovary_common_DBS13+20	ICGC-Ovary_rare_DBS13+20	ICGC-Ovary_rare_DBS5	ICGC-Ovary_rare_DBS13+19+20_a	ICGC-Ovary_rare_DBS13+19+20_b	ICGC-Bone_SoftTissue_common_DBS13+20	ICGC-Liver_common_DBS2	ICGC-Liver_common_DBS13+20	ICGC-Liver_rare_DBS23	ICGC-Liver_rare_DBS5	ICGC-Liver_rare_DBS18	ICGC-CNS_common_DBS13+20	ICGC-CNS_rare_DBS11+13	ICGC-Pancreas_common_DBS13+20	ICGC-Pancreas_rare_DBS5+25	ICGC-Pancreas_rare_DBS20	ICGC-Pancreas_rare_DBS27	ICGC-Pancreas_rare_DBS16+20	ICGC-Pancreas_rare_DBS5	ICGC-Prostate_common_DBS13	ICGC-Prostate_rare_DBS27_a	ICGC-Prostate_rare_DBS27_b	ICGC-Prostate_rare_DBS18	ICGC-Lymphoid_common_DBS11+20	ICGC-Lymphoid_common_DBS22	ICGC-Kidney_common_DBS13+20	ICGC-Kidney_rare_DBS15	ICGC-Kidney_rare_DBS23	ICGC-Skin_common_DBS1	ICGC-Esophagus_common_DBS26	ICGC-Esophagus_common_DBS13+20	ICGC-Esophagus_rare_DBS5	ICGC-Esophagus_rare_DBS8	ICGC-Esophagus_rare_DBS26	ICGC-Esophagus_rare_DBS7	ICGC-Lung_common_DBS2	ICGC-Lung_common_DBS13	ICGC-Lung_rare_DBS20	ICGC-NET_common_DBS13+20	ICGC-Stomach_common_DBS13+20	ICGC-Stomach_rare_DBS25	ICGC-Stomach_rare_DBS26_a	ICGC-Stomach_rare_DBS19	ICGC-Stomach_rare_DBS26_b	ICGC-Stomach_rare_DBS20	ICGC-Head_neck_common_DBS4	ICGC-Head_neck_rare_DBS13+18	ICGC-Head_neck_rare_DBS2	ICGC-Head_neck_rare_DBS11	ICGC-Head_neck_rare_DBS5+20	ICGC-Head_neck_rare_DBS17	ICGC-Colorectal_common_DBS13+20	ICGC-Colorectal_rare_DBS25	ICGC-Colorectal_rare_DBS3	ICGC-Colorectal_rare_DBS19	ICGC-Colorectal_rare_DBS10	ICGC-Uterus_common_DBS13+20	ICGC-Uterus_rare_DBS27	ICGC-Uterus_rare_DBS17	ICGC-Uterus_rare_DBS37	ICGC-Uterus_rare_DBS3	ICGC-Uterus_rare_DBS33	ICGC-Uterus_rare_DBS19	ICGC-Biliary_common_DBS13	ICGC-Biliary_rare_DBS19	ICGC-Bladder_common_DBS13	ICGC-Bladder_rare_DBS11
AC>CA	1.62934798405126e-19	0.00565999975564698	0.011309874980162	0.0170456950255237	0.00526583559891852	0.008	0.0109793867408425	0.00495478775007892	0.0286272560922561	0.0351354690396485	0.00742942050520059	1.79848304658269e-20	0.0105827955410325	0	0.00476883247665516	2.12272308704313e-28	0.00600600600600601	0	0.00624783061437001	0.00771634863690264	0	0	0.0155826953809203	0	0.00211416490486258	0.00978615397193079	0.0219780254416079	0	0.0181872310738556	0.0139072720037748	0.0120504973221117	0.0275565358945815	2.31767094165341e-09	0.00056980056980057	0.0492397539206808	0.0118944265779687	0.0217032903846856	0.186023808957659	0.0215939909191779	0.0315119759320727	0.000505042599518792	0.00421908432691715	6.43780269065943e-09	0.00467289719626168	0.00927357032457496	0.0204021590353781	0.0321430169057374	0.0263653951772843	0.106145963763857	0.0106139033550979	0.00376506024096386	0.00514954246928921	0.00284618002129295	0.00187297465893205	0.0106339865246764	0	0.017913593256059	0.00260405421496065	0.00515235637350885	0.00663669190018613	0.00887834516870082	0.0054054054054054	0	0.00538563432736418	0.0200269765777961	0	0.00903475694570335	0.00782281661233733	0.0105882352941176	0.0176453819551235	0.00363967242948135	0.00194129621524456
AC>CG	0.00137625844108023	0.00109821634204984	0.0016982560632748	0	0	0	0	0.00156802838188071	0	0	0	1.79848304658269e-20	0.000545511310260419	0	0.000763269102685598	0	0	0	0.001041305102395	0	0	0	0	0	0	0	0	0	1.36006339141304e-19	0.0051282527757105	0.00210405508798776	0.00525180081003493	0	0	0.00337586767108054	0.00141895006487886	0	0	0.00519493522147511	0.00455137803950928	0.000248471222033886	0.000661260586009634	0	0	0.00309119010819165	0.00470020980007855	0.00969135574847934	0.00205115789829108	0.00537153147894378	0	0	0	0	0	0	0	0	0.00180489532402373	0.0001451499191072	0.00447274811569581	0	0.0018018018018018	0	0	0	0	0	0	0.00117647058823529	0	0	0
AC>CT	0.00324641173167945	0.00167225627046832	0.00720851172996083	0.0112447234636281	0	0.00347169811320755	0.00469623002639608	0.00686520447737057	0.0143165176221081	0.0115117593404227	0.00297176820208024	1.50962689304977e-14	0.00314560176397727	0.00752358821973278	4.16013434976667e-05	0.00268490879728092	0	0.0075404134827116	0.00347101700798334	0.0169433754081727	0	0	0	0	0.00634249471458774	0	0.0109890102962954	0.00244909777423304	0.00519580511584494	0.0109059356427457	0.0101377199693956	0.0280703386730004	0.0118152722333297	0.00512820512820513	0.0145211192578593	0.00562696160809905	0	0.443391189479999	0.00337549416237539	3.32770123591129e-09	0.000269289601326441	0.00163315475028217	0.0154161118653387	0	0.00463678516228748	0.00625403767325063	0.0198807989529593	0.00773033593790456	0.0164986226022749	0	0.000753012048192771	0.00600291806806705	0.0016548735845134	0.0108282070657286	0.0111387208275891	0	0.00421496311907271	0.00427551505976308	0.00251734206240939	0.0220696911305662	0.010356666962764	0	0.0166666666666667	0.00781058111762734	0	0	0.00972061744787443	0.0240409216513514	0.00352941176470588	0.00721133589335383	0.000909918107370337	0
AC>GA	0.00290241234546023	0.00715794875607591	0.0110170237501912	0.00266288042408944	0.0044464584675482	0.00845283018867925	0.00251184397636893	0.00330395794626354	0	0	0.0193164933135215	0.0018983057372163	0.00670382043746224	0.00471232855731618	6.04410237438002e-05	1.44237000960139e-13	0	0	0.00798333911836168	0	0.00155683761111858	0	0.0143574893170537	0.0171691463408701	0.00211416490486258	0	0.0109890122359023	0.0206433450888095	0.00959815449826361	0.0145586553444926	0.0101377199693956	0.0176477828118942	3.46674247156944e-10	0.00398860398860399	0.00290561964746152	0.012995762399404	1.98794501824739e-06	0	0.0159172710793866	0	0.00142879663267711	0.00332005252782659	0.0412765184369679	0.0186915887850467	0.0108191653786708	0.0185535848668765	0.00266770772481309	0.0060330437087196	0.0103553495890252	0.00799116909508228	0.00677710843373494	1.31177603268389e-05	4.06783349672745e-06	0.00622450275021802	0.0213946145304669	0.00696382925929135	0.00737618545837724	0.00828112647119647	0.00591344805188518	0	0.00651223742856773	0.00720720720720721	0	0.00457731873315407	0.0133370040713559	0	0.00879924616200347	0.0157730306889657	0.00588235294117647	0	0.00272975432211101	0.00716926199386341
AC>GG	1.62934798405126e-19	1.03949779491735e-19	0.00240586275630597	0.00189055613109628	0.00833438551759737	0.00030188679245283	0.00182522248038229	0	0	0	0.00148588410104012	0.000751020215357808	0.000949738061585793	0	0	0	0	0	0	0	0.00661985191252833	0	0	0	0	0	0	0	0.00665488889750235	1.33758630335626e-19	0.00325172149961744	0.00742241360201209	5.43526499567429e-09	0	0.000189865356500908	0.0031240712118546	0	0	0	0.00606289084057199	0.0002663488696566	3.16135289445888e-21	0	0	0	0	0	0.00943896228681058	0	0	0	0	0.00134112985880162	0	0	0.00824527734732597	0	0	0.000580599676428799	0	0.00081769742637063	0	0	0	0	0	0.00972061744787443	0	0.00117647058823529	0.0116983892723017	0	0.00478081974709979
AC>GT	1.62934798405126e-19	0.0045784150058839	1.22899724873725e-19	0.00547835585541683	0.0421405464374671	0.00211320754716981	0	0.00156791255990857	0.0143239448552625	0	0	0.000662375049573743	0.000239099593437992	0	0	0	0.003003003003003	0.00674092192980946	0.00242971190558834	0	0.0052903886836524	0.0339340971552916	0	0	0	0.0297459440793947	0.021978026411411	0	0.00430471864929168	0.0067657662966494	0.00631216526396328	0.0149904445852973	1.1123364740312e-14	0.00455840455840456	1.31593914296449e-19	0.00335607081553681	0	0	0	0.00615067242146517	0.000292858707866231	0.00159807615275404	0.00365503628242619	0	0.00231839258114374	5.49181319908197e-08	0.0037472298747841	0.0276066718098744	0.0054356489525436	0.00427390253960565	0.000753012048192771	0	0.00166460634366766	0.00170687369099364	0	0	0	0.00180489532402373	0.00827354538911038	0.00447274811569581	0.0261663176438602	0.0018018018018018	0.0666666666666667	0	0.0267240771734429	0	0.00949500091465357	0.007950122455348	0.00588235294117647	0.0266291467319058	0.00363967242948135	0.00299841169363766
AC>TA	1.62934798405126e-19	0.0110204495294116	0.0160751736048338	0.00410765847838061	0	0.0099622641509434	0.00825054674611967	0.00711966702875361	0	0.0346479661369942	0.0104011887072808	0.00280316686576989	0.00668688081659312	0	5.56821834458487e-05	1.98535740363427e-08	0.00600600600600601	0	0.00937174592155501	0	0.014721595102815	0	0.00274285280787733	0	0.00845665961945032	0	0.0109890093264916	0.0178781198058239	0.00427932602766384	0.0116976486893732	0.015876052027544	0.0178210039459841	0.0135325068309547	0.00113960113960114	0.00981175506839695	0.00869024882517182	0	0.0122644845376171	0.021043094072552	0	0.00309238458067396	0.00420873529234089	0.00897388074377032	0	0.0115919629057187	0.00746958822031048	0.0113782006292682	0.0106653355296646	0	8.00184526840515e-12	0.00225903614457831	0.00575785274672109	0.00517786139355764	0.00757883290329889	0.0446805333542596	0.0243097259896851	0.00632244467860906	0.00674382832681491	0.000882527708387376	0	0.000947896054545162	0.0108108108108108	0	0.00296068755591505	0.0066397637437694	0.0153810882586137	0.0277995366404441	0	0.00705882352941176	0.0104332469659713	0.00454959053685168	0.00115843492874851
AC>TG	1.62934798405126e-19	0.00409433456479632	0.00571721849595589	0.00195182559544549	0	0.0060377358490566	0.0030842435459777	4.94065645841247e-324	0	0	0.00297176820208024	1.79848304658269e-20	0.00279607222202998	0	0.00305342468846806	4.20238875815026e-09	0	0	0.00208261020479	0	0	0	0.0384624890409478	0	0.00634249471458774	0.0194431257618821	0	0.00258841550339372	1.36006339141304e-19	1.33758630335626e-19	0.00937260902830911	0.00834734817419419	0.00133953528921541	0.00056980056980057	0.00490428029402904	0.00107559994857866	0	0	0.00502728682245141	0.00379670705047915	1.76587645265763e-05	0.000858143726905809	0	0.014018691588785	0.00463678516228748	0	0	0.000256009693387939	0	0.0040664283669803	0.00225903614457831	0	7.90713819963075e-09	0.00197598297699631	0	0	0	0.00180489532402373	0	0.00447274811569581	0	0.00900900900900901	0	0	0.00664696512846619	0	0.0183021416968574	0	0.00117647058823529	0.00373230502321489	0.00181983621474067	0
AC>TT	1.62934798405126e-19	0.0121345861493502	0.0216058473216284	0.00535820347847226	0.000196331384972883	0.00890566037735849	0.0139321059100983	0.00411087738960804	0	0	0.00445765230312036	0.00517883014733151	0.010356644734147	0.0097120465044354	0.00399220117059379	0.00268629337130543	0.018018018018018	0.0177826565232384	0.0131898646303367	0.00644814415295399	0.0057998868661227	0	0	0	0.0105708245243129	0	0.0109890083566875	0.0169535004558319	0.0106720483939943	0.00440903847963493	0.0179801071155318	0.0285475179066629	0.00568990866528837	0.0193732193732194	0.00301477714477032	0.0103007328482344	0.00570034318146845	0	0.00466465828667221	0.0108399625305366	0.00429956148321699	0.0101153416957074	0.01648819217763	0.014018691588785	0.00386398763523957	0.00748219027701416	0	0.0118529215310541	0.0109352445375896	0	0.00301204819277108	0.0085038285929184	0.00522779995835106	0.00458143394123396	0	0	0.00632244467860906	0.00115307783001731	1.52168438157494e-10	0	0.000566112540312348	0.0108108108108108	0.0166666666666667	0	0	0.0153810882586137	0.0375245534788494	0.00763114297258403	0.00705882352941176	0.0144226711120263	0.00272975432211101	0.011195115125326
AT>CA	1.62934798405126e-19	0.00497106558220211	0.00744638305872319	9.81479524679341e-106	0	0.00241509433962264	0.00360367466842471	2.2245624213197e-285	0	0	0.00891530460624071	1.79848304658269e-20	0.0033255521008236	0	0.000588061109218429	2.65426675122634e-07	0	0	0.00451232211037834	0	0.00413260722348826	0	0	0	0.00422832980972516	0.0195723079438616	0	0.00354132321377105	1.36006339141304e-19	0.0238361919421343	0.0066947207345065	8.25776940301389e-06	1.76207813844274e-10	0.00227920227920228	0.00346908563380418	0.00581668435209014	0.00735919790956658	0	0	0	0.000346786374401205	4.19212918935632e-19	0.00805647806173837	0	0.00386398763523957	0	0.00519202896933048	0.00607114594729269	0.0109352445375896	0	0.000753012048192771	0.00600291806806705	0.000310323786627278	0.00461786820052019	0	0	0.00210748155953635	0.00231681939634565	0.00787770450934065	0.0132511112588518	0.00387510967880776	0.0018018018018018	0	0	0.00667565885926538	0	0	0	0	0	0.00181983621474067	0
