sample1	sample2
Ref.Sig.1	609.152845803074	0
Ref.Sig.18	394.393852389799	1281.98025472496
Ref.Sig.17	0	0
Ref.Sig.MMR1	0	1206.68775738402
Ref.Sig.2	0	0
Ref.Sig.MMR2	270.957608512076	1160.00640903265
Ref.Sig.5	0	0
Ref.Sig.8	313.608343185273	4484.92309160826
Ref.Sig.13	0	1533.95914582595
Ref.Sig.3	0	5488.82305615403
Ref.Sig.30	712.016382367843	1504.84604685412
Ref.Sig.4	0	0
Ref.Sig.N1	0	0
Ref.Sig.PLATINUM	0	0
Ref.Sig.33	0	0
Ref.Sig.22	0	0
Ref.Sig.10	0	0
Ref.Sig.36	0	0
Ref.Sig.7	0	0
Ref.Sig.16	0	0
Ref.Sig.19	0	0
Ref.Sig.N2	0	0
Ref.Sig.9	0	0
Ref.Sig.N3	0	0
Ref.Sig.52	0	0
Ref.Sig.11	0	0
Ref.Sig.38	0	0
Ref.Sig.51	0	0
Ref.Sig.N4	0	0
Ref.Sig.N5	0	0
Ref.Sig.N6	0	0
Ref.Sig.N7	0	0
Ref.Sig.N8	0	0
Ref.Sig.N9	0	0
Ref.Sig.N10	0	0
Ref.Sig.N11	0	0
Ref.Sig.24	0	0
Ref.Sig.N12	0	0
