Chromosome	ChromStart	ChromEnd	Band	Stain
chr1	1	125584217	chr	orange
chr2	1	88392293	chr	orange
chr3	1	94709905	chr	orange
chr4	1	91477428	chr	orange
chr5	1	91879208	chr	orange
chr6	1	80636603	chr	orange
chr7	1	83991042	chr	orange
chr8	1	77225513	chr	orange
chr9	1	64330691	chr	orange
chr10	1	72458725	chr	orange
chr11	1	77324578	chr	orange
chr12	1	75505384	chr	orange
chr13	1	66175430	chr	orange
chr14	1	63855833	chr	orange
chr15	1	67138880	chr	orange
chr16	1	62528332	chr	orange
chr17	1	67341289	chr	orange
chr18	1	58719162	chr	orange
chr19	1	56740681	chr	orange
chr20	1	61238625	chr	orange
chr21	1	54012552	chr	orange
chr22	1	64381307	chr	orange
chr23	1	55365198	chr	orange
chr24	1	50758305	chr	orange
chr25	1	54554603	chr	orange
chr26	1	41985483	chr	orange
chr27	1	48883828	chr	orange
chr28	1	44183896	chr	orange
chr29	1	44734684	chr	orange
chr30	1	43187369	chr	orange
chr31	1	42257981	chr	orange
chr32	1	41447594	chr	orange
chr33	1	34412080	chr	orange
chr34	1	45109103	chr	orange
chr35	1	29534885	chr	orange
chr36	1	33751844	chr	orange
chr37	1	33879808	chr	orange
chr38	1	26888182	chr	orange
chrX	1	126860409	chr	orange
