genomeversion	biastype	biassubtype	chr	start	end
hg19	transcription	uts	chr1	69091	70008
hg19	transcription	uts	chr1	367640	368634
hg19	transcription	uts	chr1	818043	819983
hg19	transcription	uts	chr1	860260	879955
hg19	transcription	uts	chr1	895967	901095
hg19	transcription	uts	chr1	901877	911245
hg19	transcription	uts	chr1	948803	949920
hg19	transcription	uts	chr1	955503	991496
hg19	transcription	uts	chr1	1109264	1133315
hg19	transcription	uts	chr1	1167629	1170421
hg19	transcription	uts	chr1	1215816	1227409
hg19	transcription	uts	chr1	1243947	1247057
hg19	transcription	uts	chr1	1260136	1264277
hg19	transcription	uts	chr1	1266694	1270686
hg19	transcription	uts	chr1	1334902	1337426
hg19	transcription	uts	chr1	1361508	1363167
hg19	transcription	uts	chr1	1370241	1378262
hg19	transcription	uts	chr1	1385069	1405538
hg19	transcription	uts	chr1	1407143	1433228
hg19	transcription	uts	chr1	1447531	1470067
hg19	transcription	uts	chr1	1510355	1511373
hg19	transcription	uts	chr1	1550795	1565990
hg19	transcription	uts	chr1	1567474	1570639
hg19	transcription	uts	chr1	1846266	1848735
hg19	transcription	uts	chr1	1950780	1962192
hg19	transcription	uts	chr1	1981909	2116834
hg19	transcription	uts	chr1	2121237	2123179
hg19	transcription	uts	chr1	2160134	2241558
hg19	transcription	uts	chr1	2258581	2259042
hg19	transcription	uts	chr1	2323267	2336883
hg19	transcription	uts	chr1	2357419	2436969
hg19	transcription	uts	chr1	2487078	2496821
hg19	transcription	uts	chr1	2517930	2522908
hg19	transcription	uts	chr1	2938046	2939465
hg19	transcription	uts	chr1	2985732	3355185
hg19	transcription	uts	chr1	3370990	3397677
hg19	transcription	uts	chr1	3541566	3546691
hg19	transcription	uts	chr1	3569084	3652765
hg19	transcription	uts	chr1	3668962	3688209
hg19	transcription	uts	chr1	3689352	3692546
hg19	transcription	uts	chr1	3773845	3801993
hg19	transcription	uts	chr1	4714792	4852594
hg19	transcription	uts	chr1	6051526	6161253
hg19	transcription	uts	chr1	6265535	6281359
hg19	transcription	uts	chr1	6304252	6305638
hg19	transcription	uts	chr1	6484848	6521430
hg19	transcription	uts	chr1	6615241	6639817
hg19	transcription	uts	chr1	6640061	6649340
hg19	transcription	uts	chr1	6673745	6684093
hg19	transcription	uts	chr1	6684926	6695646
hg19	transcription	uts	chr1	6845384	7829766
hg19	transcription	uts	chr1	7831329	7841492
hg19	transcription	uts	chr1	7844380	7905237
hg19	transcription	uts	chr1	8014351	8045565
hg19	transcription	uts	chr1	8377886	8404227
hg19	transcription	uts	chr1	9005922	9035151
hg19	transcription	uts	chr1	9294834	9331396
hg19	transcription	uts	chr1	9352939	9429591
hg19	transcription	uts	chr1	9599541	9645237
hg19	transcription	uts	chr1	9648932	9674935
hg19	transcription	uts	chr1	9711790	9789172
hg19	transcription	uts	chr1	10003486	10045559
hg19	transcription	uts	chr1	10057264	10076078
hg19	transcription	uts	chr1	10092890	10241297
hg19	transcription	uts	chr1	10270863	10441661
hg19	transcription	uts	chr1	10458649	10480201
hg19	transcription	uts	chr1	10490159	10512210
hg19	transcription	uts	chr1	10490159	10512210
hg19	transcription	uts	chr1	10509776	10511959
hg19	transcription	uts	chr1	10532345	10690815
hg19	transcription	uts	chr1	11072414	11085796
hg19	transcription	uts	chr1	11249398	11256038
hg19	transcription	uts	chr1	11333263	11356106
hg19	transcription	uts	chr1	11539223	11597641
hg19	transcription	uts	chr1	11714432	11723384
hg19	transcription	uts	chr1	11724181	11734411
hg19	transcription	uts	chr1	11751786	11785914
hg19	transcription	uts	chr1	11796141	11814859
hg19	transcription	uts	chr1	11821844	11849642
hg19	transcription	uts	chr1	11866207	11903201
hg19	transcription	uts	chr1	11994262	12035595
hg19	transcription	uts	chr1	12040238	12073571
hg19	transcription	uts	chr1	12079523	12092102
hg19	transcription	uts	chr1	12123434	12204264
hg19	transcription	uts	chr1	12227060	12269285
hg19	transcription	uts	chr1	12290124	12572099
hg19	transcription	uts	chr1	12704566	12727097
hg19	transcription	uts	chr1	12776118	12788726
hg19	transcription	uts	chr1	12806163	12823847
hg19	transcription	uts	chr1	12834984	12838049
hg19	transcription	uts	chr1	12851546	12856777
hg19	transcription	uts	chr1	12916941	12921764
hg19	transcription	uts	chr1	12976450	12980569
hg19	transcription	uts	chr1	13035543	13038381
hg19	transcription	uts	chr1	13359819	13369057
hg19	transcription	uts	chr1	13421176	13428191
hg19	transcription	uts	chr1	13495254	13498260
hg19	transcription	uts	chr1	13516066	13526943
hg19	transcription	uts	chr1	13641973	13648988
hg19	transcription	uts	chr1	13716092	13719089
hg19	transcription	uts	chr1	13736907	13747803
hg19	transcription	uts	chr1	13909960	13944452
hg19	transcription	uts	chr1	14026693	14151574
hg19	transcription	uts	chr1	14925200	15444539
hg19	transcription	uts	chr1	15479028	15546976
hg19	transcription	uts	chr1	15573768	15726858
hg19	transcription	uts	chr1	15736391	15756839
hg19	transcription	uts	chr1	15764935	15775737
hg19	transcription	uts	chr1	15783223	15798586
hg19	transcription	uts	chr1	15792404	15817895
hg19	transcription	uts	chr1	15853308	15918874
hg19	transcription	uts	chr1	15943995	15995539
hg19	transcription	uts	chr1	15986364	15988217
hg19	transcription	uts	chr1	16010827	16061264
hg19	transcription	uts	chr1	16062900	16067891
hg19	transcription	uts	chr1	16068917	16074477
hg19	transcription	uts	chr1	16083102	16113089
hg19	transcription	uts	chr1	16174359	16266955
hg19	transcription	uts	chr1	16330731	16335302
hg19	transcription	uts	chr1	16345370	16360545
hg19	transcription	uts	chr1	16370272	16383803
hg19	transcription	uts	chr1	16679070	16724640
hg19	transcription	uts	chr1	16767167	16786573
hg19	transcription	uts	chr1	16865561	16866070
hg19	transcription	uts	chr1	16999498	17000007
hg19	transcription	uts	chr1	17066768	17299474
hg19	transcription	uts	chr1	17531621	17572500
hg19	transcription	uts	chr1	17575593	17610728
hg19	transcription	uts	chr1	17634690	17690499
hg19	transcription	uts	chr1	17866330	18024369
hg19	transcription	uts	chr1	18081808	18153558
hg19	transcription	uts	chr1	18434240	18704977
hg19	transcription	uts	chr1	18807424	18812478
hg19	transcription	uts	chr1	18957500	19075360
hg19	transcription	uts	chr1	19578033	19586622
hg19	transcription	uts	chr1	19638820	19655794
hg19	transcription	uts	chr1	19923473	19984549
hg19	transcription	uts	chr1	19923477	19956314
hg19	transcription	uts	chr1	19967048	19984945
hg19	transcription	uts	chr1	19991780	20006055
hg19	transcription	uts	chr1	20209006	20239438
hg19	transcription	uts	chr1	20354672	20417683
hg19	transcription	uts	chr1	20465819	20476879
hg19	transcription	uts	chr1	20512578	20522541
hg19	transcription	uts	chr1	20617412	20681387
hg19	transcription	uts	chr1	20878932	20881512
hg19	transcription	uts	chr1	20915441	20945401
hg19	transcription	uts	chr1	20959948	20978004
hg19	transcription	uts	chr1	21766621	21811498
hg19	transcription	uts	chr1	21835858	21904905
hg19	transcription	uts	chr1	22138758	22151714
hg19	transcription	uts	chr1	22303514	22325135
hg19	transcription	uts	chr1	22328149	22339032
hg19	transcription	uts	chr1	22379120	22419437
hg19	transcription	uts	chr1	22778344	22857650
hg19	transcription	uts	chr1	22890057	22930087
hg19	transcription	uts	chr1	22962999	22966101
hg19	transcription	uts	chr1	22970123	22974603
hg19	transcription	uts	chr1	22979255	22988031
hg19	transcription	uts	chr1	23037332	23241818
hg19	transcription	uts	chr1	23345941	23410182
hg19	transcription	uts	chr1	23695490	23698332
hg19	transcription	uts	chr1	23907985	23967058
hg19	transcription	uts	chr1	24018269	24022915
hg19	transcription	uts	chr1	24069645	24088549
hg19	transcription	uts	chr1	24104895	24114722
hg19	transcription	uts	chr1	24117460	24122029
hg19	transcription	uts	chr1	24285599	24289952
hg19	transcription	uts	chr1	24645812	24690972
hg19	transcription	uts	chr1	24742284	24799466
hg19	transcription	uts	chr1	24829387	24867530
hg19	transcription	uts	chr1	24882602	24935819
hg19	transcription	uts	chr1	24958207	24999758
hg19	transcription	uts	chr1	25071848	25170815
hg19	transcription	uts	chr1	25598884	25656936
hg19	transcription	uts	chr1	25664408	25688852
hg19	transcription	uts	chr1	25757388	25826700
hg19	transcription	uts	chr1	25870071	25895377
hg19	transcription	uts	chr1	25943959	26112698
hg19	transcription	uts	chr1	26126667	26144713
hg19	transcription	uts	chr1	26137961	26150235
hg19	transcription	uts	chr1	26145131	26159432
hg19	transcription	uts	chr1	26346375	26362955
hg19	transcription	uts	chr1	26437664	26452034
hg19	transcription	uts	chr1	26485511	26489119
hg19	transcription	uts	chr1	26496362	26498551
hg19	transcription	uts	chr1	26503894	26516377
hg19	transcription	uts	chr1	26517052	26529459
hg19	transcription	uts	chr1	26560691	26605299
hg19	transcription	uts	chr1	26605667	26608007
hg19	transcription	uts	chr1	26644448	26647014
hg19	transcription	uts	chr1	26737269	26756213
hg19	transcription	uts	chr1	26758773	26797785
hg19	transcription	uts	chr1	26798941	26802463
hg19	transcription	uts	chr1	26856252	26901521
hg19	transcription	uts	chr1	27022524	27108595
hg19	transcription	uts	chr1	27113963	27124889
hg19	transcription	uts	chr1	27153201	27184093
hg19	transcription	uts	chr1	27189633	27190947
hg19	transcription	uts	chr1	27226729	27273353
hg19	transcription	uts	chr1	27320198	27327389
hg19	transcription	uts	chr1	27561007	27635110
hg19	transcription	uts	chr1	27648651	27662891
hg19	transcription	uts	chr1	27668513	27680421
hg19	transcription	uts	chr1	27719148	27722318
hg19	transcription	uts	chr1	28052490	28089633
hg19	transcription	uts	chr1	28099694	28150963
hg19	transcription	uts	chr1	28157289	28178187
hg19	transcription	uts	chr1	28199055	28213196
hg19	transcription	uts	chr1	28261504	28285668
hg19	transcription	uts	chr1	28285973	28294607
hg19	transcription	uts	chr1	28527070	28527419
hg19	transcription	uts	chr1	28562620	28573417
hg19	transcription	uts	chr1	28586038	28609002
hg19	transcription	uts	chr1	28655513	28662476
hg19	transcription	uts	chr1	28696114	28826881
hg19	transcription	uts	chr1	28832455	28865812
hg19	transcription	uts	chr1	28879597	28905051
hg19	transcription	uts	chr1	28918712	28921955
hg19	transcription	uts	chr1	28995244	29045865
hg19	transcription	uts	chr1	29063133	29096287
hg19	transcription	uts	chr1	29138654	29190208
hg19	transcription	uts	chr1	29213603	29446553
hg19	transcription	uts	chr1	29563028	29653325
hg19	transcription	uts	chr1	31769842	31837783
hg19	transcription	uts	chr1	31882412	31907525
hg19	transcription	uts	chr1	32042116	32053288
hg19	transcription	uts	chr1	32083287	32098119
hg19	transcription	uts	chr1	32379174	32380745
hg19	transcription	uts	chr1	32479430	32526451
hg19	transcription	uts	chr1	32537632	32568467
hg19	transcription	uts	chr1	32573639	32642169
hg19	transcription	uts	chr1	32645287	32663886
hg19	transcription	uts	chr1	32665987	32670988
hg19	transcription	uts	chr1	32671236	32674288
hg19	transcription	uts	chr1	32674695	32681797
hg19	transcription	uts	chr1	32687529	32697205
hg19	transcription	uts	chr1	32712834	32714457
hg19	transcription	uts	chr1	32716840	32751766
hg19	transcription	uts	chr1	32757687	32799236
hg19	transcription	uts	chr1	32817122	32829913
hg19	transcription	uts	chr1	32930658	33066393
hg19	transcription	uts	chr1	32930670	32953461
hg19	transcription	uts	chr1	33005028	33071540
hg19	transcription	uts	chr1	33116743	33151812
hg19	transcription	uts	chr1	33207486	33240571
hg19	transcription	uts	chr1	33282368	33324476
hg19	transcription	uts	chr1	33351595	33364042
hg19	transcription	uts	chr1	33439268	33439642
hg19	transcription	uts	chr1	33546705	33586131
hg19	transcription	uts	chr1	33722146	33766320
hg19	transcription	uts	chr1	33938246	33962107
hg19	transcription	uts	chr1	34326076	34330392
hg19	transcription	uts	chr1	34632484	34684732
hg19	transcription	uts	chr1	35220648	35224113
hg19	transcription	uts	chr1	35225342	35229325
hg19	transcription	uts	chr1	35246790	35251970
hg19	transcription	uts	chr1	35258599	35261348
hg19	transcription	uts	chr1	35525387	35581460
hg19	transcription	uts	chr1	35734568	35887659
hg19	transcription	uts	chr1	36023074	36032875
hg19	transcription	uts	chr1	36038971	36060929
hg19	transcription	uts	chr1	36273773	36323491
hg19	transcription	uts	chr1	36335409	36395211
hg19	transcription	uts	chr1	36396319	36538101
hg19	transcription	uts	chr1	36549676	36553876
hg19	transcription	uts	chr1	36554476	36559533
hg19	transcription	uts	chr1	36621180	36646450
hg19	transcription	uts	chr1	36690017	36770958
hg19	transcription	uts	chr1	36771988	36790484
hg19	transcription	uts	chr1	36789335	36794822
hg19	transcription	uts	chr1	37940153	37949980
hg19	transcription	uts	chr1	38022520	38032458
hg19	transcription	uts	chr1	38158090	38175391
hg19	transcription	uts	chr1	38259474	38266809
hg19	transcription	uts	chr1	38272651	38275126
hg19	transcription	uts	chr1	38474930	38490496
hg19	transcription	uts	chr1	39456895	39471731
hg19	transcription	uts	chr1	39491990	39500308
hg19	transcription	uts	chr1	39546988	39952849
hg19	transcription	uts	chr1	39876151	39882154
hg19	transcription	uts	chr1	39957318	39991607
hg19	transcription	uts	chr1	40157854	40229586
hg19	transcription	uts	chr1	40420802	40435638
hg19	transcription	uts	chr1	40505905	40538321
hg19	transcription	uts	chr1	40627045	40706593
hg19	transcription	uts	chr1	40711619	40717363
hg19	transcription	uts	chr1	40723779	40759856
hg19	transcription	uts	chr1	40810522	40888998
hg19	transcription	uts	chr1	40915774	40929390
hg19	transcription	uts	chr1	40942887	40962015
hg19	transcription	uts	chr1	40974413	40982228
hg19	transcription	uts	chr1	40997233	41013841
hg19	transcription	uts	chr1	41157320	41237275
hg19	transcription	uts	chr1	41249684	41306124
hg19	transcription	uts	chr1	41445007	41478235
hg19	transcription	uts	chr1	41827594	41849262
hg19	transcription	uts	chr1	42619092	42621495
hg19	transcription	uts	chr1	42846466	42888249
hg19	transcription	uts	chr1	42921788	42939056
hg19	transcription	uts	chr1	42929001	43120335
hg19	transcription	uts	chr1	43124096	43142429
hg19	transcription	uts	chr1	43148098	43168020
hg19	transcription	uts	chr1	43232940	43263968
hg19	transcription	uts	chr1	43282795	43310660
hg19	transcription	uts	chr1	43312280	43318148
hg19	transcription	uts	chr1	43610824	43622067
hg19	transcription	uts	chr1	43637820	43720029
hg19	transcription	uts	chr1	43735665	43739673
hg19	transcription	uts	chr1	43766664	43788779
hg19	transcription	uts	chr1	43803478	43818443
hg19	transcription	uts	chr1	43824626	43828874
hg19	transcription	uts	chr1	43855553	43918321
hg19	transcription	uts	chr1	43990858	44089343
hg19	transcription	uts	chr1	44115829	44171186
hg19	transcription	uts	chr1	44171495	44396831
hg19	transcription	uts	chr1	44398992	44402913
hg19	transcription	uts	chr1	44412611	44433694
hg19	transcription	uts	chr1	44435672	44439041
hg19	transcription	uts	chr1	44440159	44443967
hg19	transcription	uts	chr1	44444615	44456840
hg19	transcription	uts	chr1	44457031	44462200
hg19	transcription	uts	chr1	44584522	44600812
hg19	transcription	uts	chr1	44679127	44686353
hg19	transcription	uts	chr1	44870866	45117396
hg19	transcription	uts	chr1	45140364	45191263
hg19	transcription	uts	chr1	45205490	45233439
hg19	transcription	uts	chr1	45240923	45244451
hg19	transcription	uts	chr1	45265897	45271662
hg19	transcription	uts	chr1	45274154	45281257
hg19	transcription	uts	chr1	45477819	45481247
hg19	transcription	uts	chr1	45792545	45794347
hg19	transcription	uts	chr1	45805342	45809647
hg19	transcription	uts	chr1	45965725	45976739
hg19	transcription	uts	chr1	46016215	46035721
hg19	transcription	uts	chr1	46049518	46084566
hg19	transcription	uts	chr1	46152886	46160115
hg19	transcription	uts	chr1	46252659	46501796
hg19	transcription	uts	chr1	46640745	46651630
hg19	transcription	uts	chr1	46669006	46686933
hg19	transcription	uts	chr1	46713360	46744145
hg19	transcription	uts	chr1	46769303	46782448
hg19	transcription	uts	chr1	46805849	46830824
hg19	transcription	uts	chr1	46859937	46879520
hg19	transcription	uts	chr1	46972668	46979898
hg19	transcription	uts	chr1	47134527	47139266
hg19	transcription	uts	chr1	47223510	47285085
hg19	transcription	uts	chr1	47427036	47516423
hg19	transcription	uts	chr1	47533160	47583991
